C07C1/00	いずれも炭化水素でない１個またはそれ以上の化合物からの炭化水素の製造
C07C47/20	非環式炭素原子に結合している―ＣＨＯ基をもつ不飽和化合物
C07C47/21	不飽和結合として炭素―炭素二重結合のみを有するもの
C07C47/22	アクロレイン；メタクロレイン
C07C47/222	不飽和結合として炭素―炭素三重結合のみを有するもの
C07C47/225	６員芳香環以外の環を含有するもの
C07C47/228	６員芳香環を含有するもの，例．フェニルアセトアルデヒド
C07C47/23	多環式のもの
C07C47/232	芳香環以外に不飽和結合をもつもの
C07C47/235	６員芳香環および他の環を含有するもの
C07C47/238	芳香環以外に不飽和結合をもつもの
C07C47/24	ハロゲンを含むもの
C07C47/26	水酸基を含有するもの
C07C47/263	非環式のもの
C07C47/267	６員芳香環以外の環を含有するもの
C07C47/27	６員芳香環を含有するもの
C07C47/273	ハロゲンを含有するもの
C07C47/277	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C47/28	６員芳香環以外の環の炭素原子に結合している―ＣＨＯ基をもつ飽和化合物
C07C47/293	３または４員環を有するもの
C07C47/30	５員環を有するもの
C07C47/32	６員環を有するもの
C07C47/33	７〜１２員環を有するもの
C07C47/34	多環式のもの
C07C47/347	縮合環系上に―ＣＨＯ基をもつもの
C07C47/353	ハロゲンを含有するもの
C07C47/36	水酸基を含有するもの
C07C47/37	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C47/38	６員芳香環以外の環の炭素原子に結合する―ＣＨＯ基をもつ不飽和化合物
C07C47/395	３または４員環を有するもの
C07C47/40	５員環を有するもの
C07C47/42	６員環を有するもの
C07C47/43	７〜１２員環を有するもの
C07C47/44	多環式のもの
C07C47/445	縮合環系を含有するもの
C07C47/45	環以外に不飽和結合をもつもの
C07C47/453	６員芳香環を含有するもの
C07C47/457	ハロゲンを含有するもの
C07C47/46	水酸基を含有するもの
C07C47/47	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C47/52	６員芳香環の炭素原子に結合している―ＣＨＯ基をもつ化合物
C07C47/54	ベンズアルデヒド
C07C47/542	アルキル化ベンズアルデヒド
C07C47/544	ジホルミル―ベンゼン；そのアルキル化誘導体
C07C47/546	多環式のもの
C07C47/548	６員芳香環以外に不飽和結合をもつもの
C07C47/55	ハロゲンを含有するもの
C07C47/56	水酸基を含有するもの
C07C47/565	すべての水酸基が環に結合してるもの
C07C47/57	多環式のもの
C07C47/575	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C47/58	バニリン
C07C49/00	ケトン；ケテン；二量化ケテン（複素環式化合物Ｃ０７Ｄ，例．β―ラクトンＣ０７Ｄ３０５／１２）；ケトン性キレート
C07C49/04	非環式炭素原子に結合しているケト基を含有する飽和化合物
C07C49/08	アセトン
C07C49/10	メチル―エチルケトン
C07C49/105	環を含有するもの
C07C49/11	単環式のもの
C07C49/115	縮合環系を含有するもの
C07C49/12	２個以上のケト基を含有するケトン
C07C49/14	アセチルアセトン；すなわち，２，４―ペンタンジオン
C07C49/15	環を含有するもの
C07C49/16	ハロゲンを含むもの
C07C49/163	環を含有するもの
C07C49/167	ハロゲンとしてフッ素のみを含有するもの
C07C49/17	水酸基を含有するもの（糖Ｃ０７Ｈ）
C07C49/172	環を含有するもの
C07C49/173	ハロゲンを含有するもの
C07C49/175	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C49/185	―ＣＨＯ基を含有するもの
C07C49/20	非環式炭素原子に結合しているケト基を含有する不飽和化合物
C07C49/203	不飽和結合として炭素―炭素二重結合のみを有するもの
C07C49/205	メチル―ビニルケトン
C07C49/207	不飽和結合として炭素―炭素三重結合のみを有するもの
C07C49/21	６員芳香環以外の環を含有するもの
C07C49/213	６員芳香環を含有するもの
C07C49/215	多環式のもの
C07C49/217	芳香環以外に不飽和結合をもつもの
C07C49/223	多環式のもの
C07C49/225	６員芳香環および他の環を含有するもの
C07C49/227	ハロゲンを含有するもの
C07C49/23	６員芳香環以外の環を含有するもの
C07C49/233	６員芳香環を含有するもの
C07C49/235	芳香環以外に不飽和結合をもつもの
C07C49/237	６員芳香環および他の環を含有するもの
C07C49/24	水酸基を含有するもの
C07C49/242	６員芳香環以外の環を含有するもの
C07C49/245	６員芳香環を含有するもの
C07C49/248	芳香環以外に不飽和結合をもつもの
C07C49/252	６員芳香環および他の環を含有するもの
C07C49/255	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C49/258	―ＣＨＯ基を含有するもの
C07C49/29	環に結合しているケト基を含有する飽和化合物
C07C49/293	３または４員環に
C07C49/297	５員環に
C07C49/303	６員環に
C07C49/307	７〜１２員環に
C07C49/313	多環式のもの
C07C49/317	両方の炭素原子が環に属しているケト基に結合しているもの
C07C49/323	縮合環系に結合しているケト基をもつもの
C07C49/327	ハロゲンを含有するもの
C07C49/333	多環式のもの
C07C49/337	水酸基を含有するもの
C07C49/345	多環式のもの
C07C49/35	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C49/355	―ＣＨＯ基を含有するもの
C07C49/385	環部分を構成しているケト基を含有する飽和化合物
C07C49/39	３または４員環の
C07C49/395	５員環の
C07C49/403	６員環の
C07C49/407	メントン
C07C49/413	７〜１２員環の
C07C49/417	多環式のもの
C07C49/423	ケト基が縮合環系の一部であるもの
C07C49/427	２個の環をもつもの
C07C49/433	縮合環系が７個の炭素原子を含有するもの
C07C49/437	樟脳；フェンコン
C07C49/443	縮合環系が８または９個の炭素原子を含有するもの
C07C49/447	縮合環系が１０個の炭素原子を含有するもの
C07C49/453	３個の環をもつもの
C07C49/457	ハロゲンを含有するもの
C07C49/463	ケト基が６員環の環部分を構成しているもの
C07C49/467	多環式のもの
C07C49/473	ケト基が縮合環系の環部分を構成しているもの
C07C49/477	２個の環をもつもの
C07C49/483	３個の環をもつもの
C07C49/487	水酸基を含有するもの
C07C49/493	ケト基が３〜５員環の環部分を構成しているもの
C07C49/497	ケト基が６員環の環部分を構成しているもの
C07C49/503	ケト基が７〜１２員環の環部分を構成しているもの
C07C49/507	多環式のもの
C07C49/513	ケト基が縮合環系の環部分を構成しているもの
C07C49/517	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C49/523	―ＣＨＯ基を含有するもの
C07C49/527	６員芳香環以外の環に結合しているケト基を含有する不飽和化合物
C07C49/533	３または４員環に
C07C49/537	５員環に
C07C49/543	６員環に
C07C49/547	７〜１２員環に
C07C49/553	多環式のもの
C07C49/557	環以外に不飽和結合をもつもの
C07C49/563	６員芳香環を含有するもの
C07C49/567	ハロゲンを含有するもの
C07C49/573	水酸基を含有するもの
C07C49/577	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C49/583	―ＣＨＯ基を含有するもの
C07C49/587	環部分を構成しているケト基を含有する不飽和化合物
C07C49/593	３または４員環の
C07C49/597	５員環の
C07C49/603	６員環の
C07C49/607	７〜１２員環の
C07C49/613	多環式のもの
C07C49/617	ケト基が縮合環系の環部分を構成しているもの
C07C49/623	２個の環をもつもの
C07C49/627	縮合環系が７個の炭素原子を含有するもの
C07C49/633	縮合環系が８または９個の炭素原子を含有するもの
C07C49/637	縮合環系が１０個の炭素原子を含有するもの
C07C49/643	３個の環をもつもの
C07C49/647	環以外に不飽和結合をもつもの
C07C49/653	多環式のもの
C07C49/657	６員芳香環を含有するもの
C07C49/665	ケト基が縮合環系の環部分を構成しているもの
C07C49/67	２個の環をもつもの，例．テトラロン
C07C49/675	３個の環をもつもの
C07C49/683	芳香環以外に不飽和結合をもつもの
C07C49/687	ハロゲンを含有するもの
C07C49/693	多環式のもの
C07C49/697	６員芳香環を含有するもの
C07C49/703	水酸基を含有するもの
C07C49/707	ケト基が３〜５員環の環部分を構成しているもの
C07C49/713	ケト基が６員環の環部分を構成しているもの
C07C49/717	ケト基が７〜１２員環の環部分を構成しているもの
C07C49/723	多環式のもの
C07C49/727	ケト基が縮合環系の環部分を構成しているもの
C07C49/733	２個の環をもつもの
C07C49/737	３個の環をもつもの
C07C49/743	環以外に不飽和結合をもつもの，例．フムロン，ルプロン
C07C49/747	６員芳香環を含有するもの
C07C49/753	エーテル基，[式:図２２．画像交換フォーマット｝基，[式:図２３．画像交換フォーマット｝基，または[式:図２４．画像交換フォーマット]基を含有するもの
C07C49/755	ケト基が，少なくとも１個の環が６員芳香環である２または３個の環を有する縮合環系の環部分を構成しているもの
C07C49/757	―ＣＨＯ基を含有するもの
C07C49/76	６員芳香環に結合しているケト基を含有するケトン（縮合環系の環部分を構成し，６員芳香環に結合しているケト基をもつ化合物Ｃ０７Ｃ４９／６５７からＣ０７Ｃ４９／７５７）
C07C49/78	アセトフェノン
C07C49/782	多環式のもの
C07C49/784	すべてのケト基が非縮合環に結合しているもの
C07C49/786	ベンゾフェノン
C07C49/788	ケト基が縮合環系に結合しているもの
C07C49/792	６員芳香環以外の環を含有するもの
C07C49/794	芳香環以外に不飽和結合をもつもの
C07C49/796	多環式のもの
C07C49/798	６員芳香環以外の環を含有するもの
C07C49/80	ハロゲンを含むもの
C07C49/807	すべてのハロゲン原子が環に結合しているもの
C07C49/813	多環式のもの
C07C49/82	水酸基を含有するもの
C07C49/825	すべての水酸基が環に結合しているもの
C07C49/83	多環式のもの
C07C49/835	芳香環以外に不飽和結合をもつもの
C07C49/84	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C49/86	―ＣＨＯ基を含有するもの
C07C49/88	ケテン；二量化ケテン
C07C49/90	ケテン，すなわち，Ｃ２Ｈ２Ｏ
C07C49/92	ケトン性キレート
C07C50/00	キノン（キノンメチドに対しては，環部分を構成しているケト基を有する不飽和ケトンを参照）<br><br><u>注</u><br><br>　このグループにおいては，キンヒドロンはそのキノイド部分にしたがって分類する。
C07C50/02	単環式キノイド構造を有するもの
C07C50/04	ベンゾキノン，すなわち，Ｃ６Ｈ４Ｏ２
C07C50/06	キノイド構造以外に不飽和結合を有するもの
C07C50/08	多環式非縮合キノイド構造を有するもの
C07C50/10	キノイド構造が２個の環を含有する縮合環系の環部分を構成しているもの
C07C50/12	ナフトキノン，すなわち，Ｃ１０Ｈ６Ｏ２
C07C50/14	環系以外に不飽和結合を有するもの，例．ビタミンＫ１
C07C50/16	キノイド構造が３個の環を含有する縮合環系の環部分を構成しているもの
C07C50/18	アントラキノン，すなわち，Ｃ１４Ｈ８Ｏ２
C07C50/20	環系以外に不飽和結合を有するもの
C07C50/22	キノイド構造が４個以上の環を含有する縮合環系の環部分を構成しているもの
C07C50/24	ハロゲンを含有するもの
C07C50/26	炭素原子に単結合している酸素原子をもつ基を含有するもの
C07C50/28	単環式キノイド構造を有するもの
C07C50/30	多環式非縮合キノイド構造を有するもの
C07C50/32	キノイド構造が２個の環をもつ縮合環系の環部分を構成しているもの
C07C50/34	キノイド構造が３個の環をもつ縮合環系の環部分を構成しているもの
C07C50/36	キノイド構造が４個以上の環をもつ縮合環系の環部分を構成しているもの
C07C50/38	―ＣＨＯまたは非キノイドケト基を含有するもの
C07C51/00	カルボン酸，その塩，ハロゲン化物または無水物の製造（油，脂肪またはワックスの加水分解による酸のＣ１１Ｃ）<br><br><u>｛注</u><br><br>　グループＣ０７Ｃ５１／００からＣ０７Ｃ５１／６４の表記の後および正の符号（＋）でそこから切り離されているときは，生成物に関する表記が加えられる。これらの表記は，グループＣ０７Ｃ５３／００からＣ０７Ｃ６６／００またはそれらのサブグループから選択される。｝
C07C51/02	カルボン酸の塩から
C07C51/04	カルボン酸ハロゲン化物から
C07C51/06	カルボン酸アミドのけん化によるもの
C07C51/08	ニトリルから
C07C51/083	カルボン酸無水物から
C07C51/087	加水分解によるもの
C07C51/09	カルボン酸エステルまたはラクトンから
C07C51/093	　−ＣＸ３基の加水分解によるもの，Ｘはハロゲン
C07C51/097	ニトロ置換有機化合物からまたはそれを経由するもの
C07C51/10	一酸化炭素との反応によるもの
C07C51/12	有機化合物中の酸素含有基におけるもの，例．アルコール
C07C51/14	有機化合物中の炭素―炭素不飽和結合におけるもの
C07C51/145	酸化を同時に伴うもの
C07C51/15	有機化合物と二酸化炭素との反応によるもの，例．コルベーシュミット合成
C07C51/16	酸化によるもの（Ｃ０７Ｃ５１／１４５が優先）
C07C51/21	分子状酸素を用いるもの
C07C51/215	飽和ヒドロカルビル基の
C07C51/225	パラフィンワックスの
C07C51/23	酸素含有基のカルボキシル基への
C07C51/235	―ＣＨＯ基または第一級アルコール基の
C07C51/245	ケト基または第二級アルコール基の
C07C51/25	６員芳香環を含有しない不飽和化合物の
C07C51/252	｛プロペン，ブテン，アクロレインまたはメタクロレインの｝
C07C51/255	６員芳香環を含有する化合物の環開裂を伴わないもの
C07C51/265	アルキル側鎖を酸化してカルボキシル基にするもの．．．．<br><br><u>｛注</u><br><br>．．　カッシュマンタイプの反応，すなわち，一塩基酸の中間エステル化によるジアルキル芳香族化合物の酸化，最終生成物がカルボン酸であっても関連するエステルを参照｝
C07C51/27	窒素酸化物または窒素を含有する鉱酸を用いるもの
C07C51/275	炭化水素基の
C07C51/285	過酸化物を用いるもの
C07C51/29	その場で形成してもよいハロゲンを含有する化合物を用いるもの
C07C51/295	無機塩基を用いるもの，例．アルカリ熔融によるもの
C07C51/305	硫黄または硫黄を含有する化合物を用いるもの
C07C51/31	環式化合物の環開裂を伴うもの
C07C51/313	｛分子酸素によるもの｝
C07C51/316	｛窒素酸化物または窒素含有鉱酸によるもの｝
C07C51/34	オゾン酸化によるもの；オゾニドの加水分解によるもの
C07C51/347	カルボキシル基の生成を伴わない反応によるもの
C07C51/353	異性化によるもの；炭素骨格の大きさを変化させることによるもの
C07C51/36	炭素―炭素不飽和結合の水素添加によるもの
C07C51/363	ハロゲンの導入によるもの；ハロゲン原子を他のハロゲン原子によって置換することによるもの
C07C51/367	単結合の酸素を含有する官能基の導入によるもの
C07C51/373	二重結合の酸素を含有する官能基の導入によるもの
C07C51/377	水素または官能基の離脱によるもの；官能基の水添分解によるもの　｛Ｃ０７Ｃ５１／３６　から　Ｃ０７Ｃ５１／３７３　が優先｝
C07C51/38	脱炭酸によるもの
C07C51/41	カルボン酸塩の製造（石けんの製造Ｃ１１Ｄ）　｛Ｃ０７Ｃ５１／０９３　から　Ｃ０７Ｃ５１／３４　が優先｝
C07C51/412	｛同じカルボン酸部分を持つ酸，その塩，エステルまたは無水物の変化によるもの｝
C07C51/414	｛超塩基性塩の製造｝
C07C51/416	｛ヘンケル反応またはその関連反応，すなわち，一酸化炭素または二酸化炭素の存在化または不存在下での６員芳香環に結合したカルボン酸塩の基の転移反応（例．ベンゾエートからのテレフタレートの製造）その後の塩基の加水分解の分類は不要｝
C07C51/418	｛カルボン酸部分を含有する金属錯体の製造｝
C07C51/42	分離；精製；安定化；添加剤の使用
C07C51/43	物理的状態の変化によるもの，例．結晶化
C07C51/44	蒸留によるもの
C07C51/445	｛水蒸気蒸留によるもの｝
C07C51/46	共沸蒸留によるもの
C07C51/47	固―液処理によるもの；化学吸着によるもの
C07C51/48	液―液処理によるもの
C07C51/487	化学的変性をひきおこす処理によるもの（化学吸着によるものＣ０７Ｃ５１／４７）
C07C51/493	カルボン酸エステルを形成することによるもの
C07C51/50	添加剤の使用，例．安定化のためのもの
C07C51/54	カルボン酸無水物の製造（酸化によるものＣ０７Ｃ５１／１６）
C07C51/56	有機酸，その塩，そのエステルからのもの　｛またはそのハロゲン化物からのもの，例．カルボキシル化によるもの｝
C07C51/567	カルボン酸無水物基の関与しない反応によるもの
C07C51/573	分離；精製；安定化；添加剤の使用
C07C51/58	カルボン酸ハロゲン化物の製造
C07C51/60	カルボン酸またはその無水物の変換によるもの　｛または，エステル，ラクトン，塩｝同じカルボン酸部分においてハロゲン化物に変換するもの
C07C51/62	カルボン酸ハロゲン化物基の関与しない反応によるもの
C07C51/64	分離；精製；安定化；添加剤の使用
C07C53/00	非環式炭素原子または水素に結合している１個のカルボキシル基をもつ飽和化合物
C07C53/02	ぎ酸
C07C53/06	その塩
C07C53/08	酢酸（木酢Ｃ１０Ｃ；酢の製造Ｃ１２Ｊ）
C07C53/10	その塩
C07C53/12	無水酢酸（ケテンＣ０７Ｃ４９／２０）
C07C53/122	プロピオン酸
C07C53/124	４個の炭素原子を含有する酸
C07C53/126	５個以上の炭素原子を含有する酸
C07C53/128	カルボキシル基が少なくとも２個の他の炭素原子に結合している炭素原子に結合しているもの，例．ネオ酸
C07C53/132	環を含有するもの
C07C53/134	単環式のもの
C07C53/136	縮合環系を含有するもの
C07C53/138	アダマンタン環系を含有するもの
C07C53/15	ハロゲンを含有するもの
C07C53/16	ハロ酢酸
C07C53/18	フッ素を含有するもの
C07C53/19	３個以上の炭素原子を含有する酸
C07C53/21	フッ素を含有するもの
C07C53/23	環を含有するもの
C07C53/38	酸ハロゲン化物
C07C53/40	酢酸ハロゲン化物
C07C53/42	３個以上の炭素原子を含有する酸の
C07C53/44	環を含有するもの
C07C53/46	カルボニルハライド基以外にハロゲンを含有するもの
C07C53/48	ハロゲン化酢酸ハロゲン化物
C07C53/50	３個以上の炭素原子を含有する酸の
C07C55/00	非環式炭素原子に結合している２個以上のカルボキシル基をもつ飽和化合物
C07C55/02	二塩基性カルボン酸
C07C55/06	しゅう酸
C07C55/07	その塩
C07C55/08	マロン酸
C07C55/10	こはく酸
C07C55/12	グルタル酸
C07C55/14	アジピン酸
C07C55/16	ピメリン酸
C07C55/18	アゼライン酸
C07C55/20	セバシン酸
C07C55/21	１２個の炭素原子をもつ二塩基性カルボン酸
C07C55/22	三塩基性カルボン酸
C07C55/24	４個以上のカルボキシル基を含有するもの
C07C55/26	環を含有するもの　｛芳香環以外の｝
C07C55/28	単環式のもの
C07C55/30	縮合環系を含有するもの
C07C55/32	ハロゲンを含有するもの
C07C55/34	環を含有するもの
C07C55/36	酸ハロゲン化物
C07C55/38	環を含有するもの
C07C55/40	カルボニルハライド基以外にハロゲンを含有するもの
C07C57/00	非環式炭素原子に結合しているカルボキシル基をもつ不飽和化合物
C07C57/02	不飽和結合として炭素―炭素二重結合のみを有するもの
C07C57/03	一塩基性カルボン酸
C07C57/04	アクリル酸；メタクリル酸
C07C57/08	クロトン酸
C07C57/10	ソルビン酸
C07C57/12	１８個の炭素原子を含有する直鎖カルボン酸
C07C57/13	二塩基性カルボン酸
C07C57/145	マレイン酸
C07C57/15	フマル酸
C07C57/155	シトラコン酸
C07C57/16	ムコン酸
C07C57/18	不飽和結合として炭素―炭素三重結合のみをもつもの
C07C57/20	プロピオール酸
C07C57/22	アセチレンジカルボン酸
C07C57/24	ジアセチレンまたはポリアセチレンジカルボン酸
C07C57/26	６員芳香環以外の環を含有するもの
C07C57/28	アダマンタン環系を含有するもの
C07C57/30	６員芳香環を含有するもの
C07C57/32	フェニル酢酸
C07C57/34	２個以上のカルボキシル基を含有するもの
C07C57/36	フェニルマロン酸
C07C57/38	多環式のもの
C07C57/40	縮合環系を含有するもの
C07C57/42	環以外に不飽和結合をもつもの
C07C57/44	桂皮酸
C07C57/46	６員芳香環および他の環を含有するもの，例．シクロヘキシルフェニル酢酸
C07C57/48	芳香環以外に不飽和結合をもつもの
C07C57/50	縮合環系を含有するもの
C07C57/52	ハロゲンを含有するもの
C07C57/54	ハロアクリル酸またはハロメタクリル酸
C07C57/56	６員芳香環以外の環を含有するもの
C07C57/58	６員芳香環を含有するもの
C07C57/60	環以外に不飽和結合をもつもの
C07C57/62	６員芳香環および他の環を含有するもの
C07C57/64	酸ハロゲン化物
C07C57/66	不飽和結合として炭素―炭素二重結合のみを有するもの
C07C57/68	不飽和結合として炭素―炭素三重結合のみを有するもの
C07C57/70	６員芳香環以外の環を含有するもの
C07C57/72	６員芳香環を含有するもの
C07C57/74	６員芳香環および他の環を含有するもの
C07C57/76	カルボニルハライド基以外にハロゲンを含有するもの
C07C59/00	非環式炭素原子に結合しているカルボキシル基をもち，ＯＨ，Ｏ−金属，−ＣＨＯ，ケト，エーテル，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基のうちいずれかの基を含有する化合物
C07C59/01	１個のカルボキシル基をもち，水酸基またはＯ―金属基を含有する飽和化合物
C07C59/06	グリコール酸
C07C59/08	乳酸
C07C59/10	ポリヒドロキシカルボン酸
C07C59/105	５個以上の炭素原子をもつもの，例．アルドン酸
C07C59/11	環を含有するもの
C07C59/115	ハロゲンを含有するもの
C07C59/125	１個のカルボキシル基をもち，エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有する飽和化合物
C07C59/13	環を含有するもの
C07C59/135	ハロゲンを含有するもの
C07C59/147	１個のカルボキシル基をもち，―ＣＨＯ基を含有する飽和化合物
C07C59/153	グリオキシル酸
C07C59/185	１個のカルボキシル基をもち，ケト基を含有する飽和化合物
C07C59/19	ピルビン酸
C07C59/195	アセト酢酸
C07C59/205	環を含有するもの
C07C59/21	ハロゲンを含有するもの
C07C59/215	単結合の酸素を含有する基を含有するもの
C07C59/225	―ＣＨＯ基を含有するもの
C07C59/235	２個以上のカルボキシル基をもつ飽和化合物
C07C59/245	水酸基またはＯ―金属基を含有するもの
C07C59/255	酒石酸
C07C59/265	クエン酸
C07C59/285	５個以上の炭素原子をもつポリヒドロキシ二塩基性カルボン酸，例．糖酸
C07C59/29	環を含有するもの
C07C59/295	ハロゲンを含有するもの
C07C59/305	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C59/31	環を含有するもの
C07C59/315	ハロゲンを含有するもの
C07C59/325	―ＣＨＯ基を含有するもの
C07C59/347	ケト基を含有するもの
C07C59/353	環を含有するもの
C07C59/40	不飽和化合物
C07C59/42	水酸基またはＯ―金属基を含有するもの
C07C59/44	リシノール酸
C07C59/46	６員芳香環以外の環を含有するもの
C07C59/48	６員芳香環を含有するもの
C07C59/50	マンデル酸
C07C59/52	水酸基またはＯ―金属基が６員芳香環の炭素原子に結合しているもの
C07C59/54	６員芳香環および他の環を含有するもの
C07C59/56	ハロゲンを含有するもの
C07C59/58	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有するもの
C07C59/60	エーテルの非カルボキシル基部分が不飽和であるもの
C07C59/62	６員芳香環以外の環を含有するもの
C07C59/64	６員芳香環を含有するもの
C07C59/66	エーテルの非カルボキシル基部分が６員芳香環を含有するもの
C07C59/68	エーテル基の酸素原子が非縮合６員芳香環に結合しているもの
C07C59/70	ヒドロキシ酢酸のエーテル　｛例．環の置換基｝
C07C59/72	６員芳香環および他の環を含有するもの
C07C59/74	―ＣＨＯ基を含有するもの
C07C59/76	ケト基を含有するもの
C07C59/80	６員芳香環以外の環を含有するもの
C07C59/82	ケト基が環部分を構成しているもの
C07C59/84	６員芳香環を含有するもの
C07C59/86	６員芳香環と他の環を含有するもの
C07C59/88	ハロゲンを含有するもの
C07C59/90	単結合の酸素含有基を含有するもの
C07C59/92	―ＣＨＯ基を含有するもの
C07C61/00	６員芳香環以外の環の炭素原子に結合しているカルボキシル基をもつ化合物<br><br><u>｛注</u><br><br>ナフテン酸を含有するナフテンの酸化混合物はＣ０７Ｃ６１／００５に分類する。｝
C07C61/005	ナフテン酸
C07C61/04	３員環または４員環に結合しているカルボキシル基をもつ飽和化合物
C07C61/06	５員環に結合しているカルボキシル基をもつ飽和化合物
C07C61/08	６員環に結合しているカルボキシル基をもつ飽和化合物
C07C61/09	完全に水素化されたベンゼンジカルボン酸
C07C61/10	７〜１２員環に結合しているカルボキシル基をもつ飽和化合物
C07C61/12	飽和多環式化合物
C07C61/125	縮合環系に結合しているカルボキシル基をもつもの
C07C61/13	２個の環をもつもの
C07C61/135	３個の環をもつもの
C07C61/15	ハロゲンを含有する飽和化合物
C07C61/16	不飽和化合物
C07C61/20	５員環に結合しているカルボキシル基をもつもの
C07C61/22	６員環に結合しているカルボキシル基をもつもの
C07C61/24	部分的に水素化されたベンゼンジカルボン酸
C07C61/26	７〜１２員環に結合しているカルボキシル基をもつもの
C07C61/28	多環式のもの
C07C61/29	縮合環系に結合しているカルボキシル基をもつもの
C07C61/35	環以外に不飽和結合をもつもの
C07C61/37	菊酸
C07C61/39	６員芳香環を含有するもの
C07C61/40	ハロゲンを含有するもの
C07C62/00	６員芳香環以外の環の炭素原子に結合しているカルボキシル基をもち，ＯＨ，Ｏ―金属，―ＣＨＯ，ケト，エーテル，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基のうちいずれかの基を含有する化合物
C07C62/02	水酸基またはＯ―金属基を含有する飽和化合物
C07C62/04	６員環を有するもの
C07C62/06	多環式のもの
C07C62/08	エーテル基，[ｆｏｒｍｕｌａ:ｆｉｇ２２．ｇｉｆ｝基，[ｆｏｒｍｕｌａ:ｆｉｇ２３．ｇｉｆ｝基，または[ｆｏｒｍｕｌａ:ｆｉｇ２４．ｇｉｆ]基を含有する飽和化合物
C07C62/10	６員環を有するもの
C07C62/12	多環式のもの
C07C62/14	縮合環系上にカルボキシル基をもつもの
